Comment ID,Likes,Text
UgxwLyt5HgovJ5-aEXF4AaABAg.9Ir3HTGGJbK9JEUZ-G3uqO,4,When I visited this place...the local guide spoke in marathi as well...and he said the deity inside the mandir was actually vithal murti which is now in Pandharpur...it was transported when Afzal Khan was plundering humpi
Ugx5TT0frw0ac1WJdb94AaABAg,4,"Nonveg Ko veg Bana diya, Patil Ko Patel Bana diya"
Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9H_Xere3mSS,4,@Parzival711-x7i thanks for the reply... would look into this 👍
Ugwfz_2AuBkOWWNpSN94AaABAg.99BVYfQRdBw99Om9hUSUM-,4,"Kali mirch/black pepper 5-6<br>10-12 cloves of garlic<br>Coriander seeds 4-5 spoons<br>Saunf/fennel seeds 4-5 spoons<br>Jeera/cumin seeds 4-5 spoons<br>Red Chillies (as much you see in the video)<br>6-7 cloves<br>Fry all this in 2 tablespoons of oil until chillies get crispy..<br>And ground it ..can add shredded coconut while grounding this masala<br>Add some half fried onions (more onions more acidity)<br>Later marinate chicken with this masala and garnish it with coconut flakes and coriander/cilantro leaves for 2 hours<br>Heat 4 tablespoons of oil+ put onions, fry until red<br>Add chicken<br>Don&#39;t add water...since this is sukka (dry) masala<br>Heat chicken until it precipitates and cooks itself<br>Enjoy"
Ugziln-3ifVRyI4HxMh4AaABAg,4,Paise khayche dhande...line 3 was nearly done...now because it is not connected to a depot it won&#39;t start for next 3 years until line 6 is inaugurated...slow claps for Budhhu Thackeray
UgxVOiALsCv-n73aoup4AaABAg.8tHiCgs6FdK8tPLVpL91Ah,4,"Don&#39;t be so pessimistic...we still have time and we are getting aware...it is our duty to unite our brethren... cause if the human race loses our ideology, humanity will be lost"
UgxeU-MlZisiLpPsmcJ4AaABAg,4,"A moment of silence for all those who think wrestling is fake...<br><br>Wrestling is real, entertainment segment of wrestling is scripted but stunts performed are real and so are the injuries...think about that before you ridicule WWE<br>John Oliver also did a segment on them and their plight with injuries and how WWE doesn&#39;t pay for their medical insurance"
UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G88SOZcRPW,4,"Aryan I don&#39;t know why you were quick to assume I was from UP Bihar, but anyway, have you ever been to vidharbha? Solapur? Konkan? Or are you assuming Maharashtra is developed because of Mumbai-Pune-Nagpur? Major cities like Aurangabad still face water shortages... Many colonies in Aurangabad either have to order water tankers or wait for 3-4 days for potable water...is this the definition of development? Telco has been moving it&#39;s production units to other states year after year for the last ten years... increasing &#39;skilled&#39; unemployment in cities like pune pcmc, is this development?<br>India&#39;s financial capital still doesn&#39;t have a working metro system, and if you are going to tell me that ghatkopar line is enough to suffice the needs then you would be delusional...pune has been asking for metro since 2006-7...when it&#39;s population was closing up to 4 million...now the city has passed 6 million people and we still don&#39;t have a functional metro...let me not even get started about pune ring road...half of our five star midcs are empty, why? Five star means continuous electricity, 4 lane road connectivity, rail connectivity, etc...still companies aren&#39;t flocking in to setup factories, why? Newly formed states like telengana would catch up with Maharashtra&#39;s development soon..<br>Saudi Aramco was planning to invest around 50 billion in Ratnagiri which has halted...(there are many reasons for this, pandemic being one) but what Saudi officials state right now is change in local government and leadership... people of kolhapur-sangli get a flood-scare nearly every odd year...<br>I don&#39;t want to discard or discredit what Maharashtra has done in the last 70 years but much more can be done...I don&#39;t mean to offend anyone from UP Bihar, but Maharashtra should not compare itself with underdeveloped states...we have gone passed that...compare Maharashtra to Tokyo bay area, Shanghai, California etc then you will see how developed Maharashtra is...all I want to say is first become the best then teach the rest.<br>There is a marathi saying: &quot;loka sanghe brahmadnyan, swatah korde pashan&quot; that should not happen with Maharashtra"
Ugwqd27ZtPkv9H1c34l4AaABAg.A6Bdvmd-460A6Juf21tEtQ,3,"@LakhanGupta-si1td Point of source would technically mean Companies…but to completely curb this epidemic, I would say tax the whole supply chain, including farmers. Ban indirect advertising. I don’t want to see Jubaan Kesari after every 5 mins on TV. These companies know that addicted people will get triggered by the advertising. I know this because I used to smoke cigarettes and every time I saw someone on tv smoke, I craved a cigarette. But all this requires political will. So I don’t see this happening in the next 5 years at least."
UgwO-tHNWdvjLS4_siZ4AaABAg.9xsS7dRbWes9xzEeqxWSOQ,3,@AdityaSinghRathore-nv3oi  Palki cant do it all alone
Ugy8wzCvl0JMAHxwg3V4AaABAg.9FJE2FsvLHw9FJyjY3fEjq,3,"@Lordchagnon I wouldn&#39;t mind Ambani running things, but it would be a &#39;for profit&#39; organization rather than talent development in India for Indians...it might end up like the Chinese super league where big players like Oscar, hulk or hamsik go for retirement and earn a lot of money pulling crowds but hardly does anything to develop the local league"
UgwISR1elwOEo0jD6aR4AaABAg,3,"Yup, finished my 60 day limit last July…came back home to my family here in India…I realize I have become a cranky nihilist who doesn’t appreciate anything anymore…I wasn’t like that before I went to the states…it’s like I want to chase a high in the States…like Eminem says..normal life is boring"
Ugxgmrhgmifd5Mww5M94AaABAg.9DIRoSPAWcd9DWzRi1VSXz,3,"@anant_shinde I did do a study on this during my masters and there are only about three regions in the world that have suitable wind speed and water depth along the coastline, ie norsesea, between England and Scandinavia, northeast usa, and above Taiwan....the thing about offshore wind turbine projects is that minimum turbine design is for 10MW and speeds required for that kind of power generation is 10m/s...so instead of building 200ft+ high turbines in the sea and worry about wind speed and corrosion everyday, 100ft lower capacity turbines (onshore) that require minimum 5m/s for power generation would be more beneficial"
UgzIEZK6Ku_3s8WWi8V4AaABAg.9EY4LcGfYqz9EaxkY4wHOd,3,"@yhoober1701 what you wanna say is &#39;gau&#39; not Goa, Goa is a state in India (where actually cow meat is not banned)"
Ugw_AlpxOLBdYYi4m9t4AaABAg.AQYPb72sgX7AQ_ZDS6m4sN,3,"@sonasyummykitchen2027well that’s because you are dividing 2025 gdp estimates with 2011 population data. But ground reality is different. 2011 population estimate is 1.5 cr. In 2025, it would be around 2cr + seasonal migrants from Bihar, Jharkhand and illegal migrants from Bangladesh. Considering all this, the per capita gdp would drop significantly.<br><br>I am not saying that other Indian cities don’t experience seasonal migrants from Bihar and illegals from Bangladesh, however Kolkata due to closer proximity has to accommodate a larger chunk."
UgwAZtLS5ijiOZcrLBh4AaABAg,3,"I saw the highlights yesterday and I realized that nothing has changed in Indian men&#39;s football apart from the inclusion of Ryan Williams (33y/o) who probably has 3-4 more years left in him. All other players were playing the same football that has cost us World Cup qualification round 3, cost us AFC knockouts, cost us AFC 2027 qualifiers. Be it changte, liston, manvir, apuia...all pathetic...its just that Hong Kong also played bad enough to lose to us. No reason for Indian football fans to celebrate or be happy about tbh. The future still looks dire. Only thing that could revive Indian football is to get OCI/PIO players in key positions at least (one winger, one holding midfielder, one defender), only then we might be making some waves by 2030. Nahi toh already khade me gaya hai Vision 2047."
UgxpVDwLNu5YUAohMpJ4AaABAg.8jaQMNlB-kZ9KptNX0Hvsb,3,@vaibhavpatil3471 chesta maskari bhava...
UgzE70W5qVizFr6-6hJ4AaABAg,3,"I did drive around Pittsburgh for a week, but tbh, i didnt quite enjoy it. apart from the view of downtown from the tunnel. I remember there was a bridge where 2 4-lane roads merged and traffic from both the roads had to pick a lane within 800 ft because the bridge would again diverge into 2 4-lane roads, that was just too stressful for me as a driver."
UgxrBETLq8nObD7OIGB4AaABAg.9HbmZwXYpsw9HhFN4gYiRv,2,Lol &#39;a eunuch&#39;.... science proves that 16 million people today  have his DNA
Ugw4--foZRKDcUEbgmp4AaABAg.9DOaCIOgmHl9DOgjMdd-bj,2,"@AbhishekYadav-io6gu apart from cold fusion, there is also Economics Explained and Jack Chapple"
UgyDg-N_GtN6gXsdh5Z4AaABAg.9DbsAiAeXwE9EFa2gNjbi4,2,And soorma bhopali
Ugzr0KrdAOXfrfz1X-Z4AaABAg.9Bxr4SCfdRf9EbP7lwJGIC,2,"@killme2675 I don&#39;t think nationalism is the main issue that hinders our progress, it&#39;s more to do with illiteracy within the masses, like India claims 70% literacy but probably only 10% have logical thinking, probably same for Pakistan. 2nd thing is nepotism, it has always been a huge thing in our cultures...the top 1% in politics, business (military for Pakistan) always look for stability for their kin, it doesn&#39;t matter to them if their community as a whole would suffer, that&#39;s why they are so resistant to change (they don&#39;t have &#39;best for the job&#39; attitude)...if you keep the masses illiterate and impoverished, they would be constants in the ruling class...that is one reason why India chose Modi over Rahul Gandhi...they were desparate for change...and I don&#39;t think Congress would come to power until they actually try to solve India&#39;s problems. Probably the same reason why Pakistan chose Imran Khan (even though he is rich I don&#39;t think he had political connections and stuff, not sure about that, but I guess Pakistans population was tired of Bhuttos and shariffs)...and I can see change in Indian government&#39;s attitude towards its problems...they have identified many redundant British era laws that were hampering progress and promoting corruption... Bureaucracy in India has been getting more freedom to implement the right policies, The toilet program is one of that, it is an embarrassing problem but they have recognised it and started to solve it which has improved sanitation facilities; along with health care, micro loans are given to farmers and small shop vendors to start small businesses, affordable housing has helped construct at least 5 crore houses in the last 6 years of Modi gov, highways are being built at 5 times more pace and thier goal is to achieve 8 times more speed by 2024...and the best thing that this gov could have done and which they are doing is increasing transparency...they have made most forms, applications etc online, they have started to use block chain to identify and solve major issues...now I&#39;m not trying to advertise Modi gov, I&#39;m not going to get anything from it, but I can definitely see change, I think what both the populations should understand is that &#39;you can change your allies but you can&#39;t change your neighbours&#39;...so a healthy developed Pakistan would any day be better for both india and pakistan...and if you read all of this, thank you for your patience and hope you have a great day ahead"
UgwhCrlH_RKEiaP2ZBJ4AaABAg,2,"Parthib has the potential to be the next big thing in Indian football...(probably build higher on what chettri has achieved for India). I saw the game being a MCFC fan. And the only player active on NEU side was Parthib. He has great game sense/vision. The runs he was making, the spaces he was finding, were absolutely beautiful... straight out of EA Fifa playbooks. Too bad his teammates didn&#39;t reciprocate as much. I saw his podcast and he has decided to stay with NEU to get more gametime. Bro, if he gets 10+ goals and 3+ assist this season...he is going to be the most sought after player in the league."
Ugzr0KrdAOXfrfz1X-Z4AaABAg.9Bxr4SCfdRf9EawTnicE0A,2,"@killme2675 lynching in India is a law and order issue tbh, media has its biases while reporting these lynching events...media only covers those events where a minority was beaten to death...but in Indian villages it is a common thing, instant justice without any prosecution...I bet atleast one truck driver gets lynched to death every day in India because he hit someone&#39;s cattle (which should not be running amok on the highways in the first place) or a reckless two-wheeler who was trying to overtake from the wrong side...by the time the police arrive the truck is burning and the driver most of the time is dead...this is the sad case of indian law and order but yes, media won&#39;t report this since it won&#39;t bring up thier viewership, but if the driver is from a minority community media would be the first one to report it"
Ugw3JzWcHvAMD4kJH_94AaABAg,2,"⁠BJP fucked up big time…they had the opportunity to win Vidhan Sabha Election 2024 and Lok Sabha Election in Maharashtra with a landslide. There is a saying in Marathi. Aati ghai, mhasnat nehi. BJP could have just sat outside of State gov and let Maha Vikas Aghadi mismanage the state for 5 years. People were getting frustrated with Udhav Thakarey, Ajit Pawar alliance. But BJP had to break traditional parties like Shiv Sena for short term gains. That is short sightedness from Devendrá Phadanvis. Later, they also welcomed the most corrupt politicians in Mahayuti in 2023-24 period (ie Ajit Pawar, Ashok Chavan, Bhujbal, Hasan Mushrif etc). This is the beginning of the downfall. An Ex-CONgressman Jarange was left amok, who picked up the Maratha reservation issue. All this has culminated into a major anti incumbency. Plus, the Marathi media (which is bought by Sharad Pawar) is setting an Anti-government narrative…and is likely succeeding in it."
